epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.553,1.2167,1.03069,1.18353,0.70456,0.59668,0.6691,0.4347,1.24372,1.80562,1.19534,0.0670072,0.000333261,0.000333261
2,777.195,1.17143,0.9484,1.16005,0.82363,0.77195,0.82317,0.58752,1.02273,1.34583,1.04328,0.0339876,0.000647041,0.000647041
3,1135.62,1.13559,0.89325,1.14298,0.83496,0.77415,0.83099,0.59561,1.01279,1.23406,1.03572,0.000948513,0.000941265,0.000941265
4,1484.23,1.12423,0.87632,1.13864,0.83634,0.77548,0.83381,0.5982,1.00826,1.32386,1.03334,0.000912,0.000912,0.000912
5,1829.54,1.11955,0.86995,1.13646,0.83844,0.78111,0.83743,0.60231,1.00665,1.40155,1.03273,0.000882667,0.000882667,0.000882667
6,2176.38,1.11704,0.86736,1.13454,0.83837,0.78286,0.83766,0.60284,1.00418,1.39214,1.03111,0.000853333,0.000853333,0.000853333
7,2519.94,1.11655,0.86344,1.13413,0.83707,0.78594,0.83865,0.60363,1.00221,1.36703,1.03019,0.000824,0.000824,0.000824
8,2862.64,1.11762,0.86146,1.1332,0.83761,0.78738,0.83921,0.60421,1.00102,1.34841,1.02916,0.000794667,0.000794667,0.000794667
9,3238.93,1.11131,0.85671,1.13221,0.83974,0.78726,0.83932,0.60465,1.00049,1.34983,1.02877,0.000765333,0.000765333,0.000765333
10,3587.46,1.10964,0.85651,1.13252,0.84159,0.78756,0.83959,0.60542,0.99948,1.36031,1.02851,0.000736,0.000736,0.000736
11,3941.02,1.11073,0.85041,1.1302,0.84365,0.78786,0.8399,0.6057,0.99877,1.37633,1.02784,0.000706667,0.000706667,0.000706667
12,4296.09,1.10715,0.84875,1.13014,0.84418,0.78865,0.84018,0.60583,0.99878,1.38338,1.02781,0.000677333,0.000677333,0.000677333
13,4651.55,1.10476,0.84565,1.1288,0.84325,0.78805,0.84057,0.60595,0.99793,1.38877,1.02726,0.000648,0.000648,0.000648
14,5014.88,1.10512,0.84155,1.12708,0.84303,0.78702,0.84071,0.60642,0.99754,1.37752,1.02699,0.000618667,0.000618667,0.000618667
15,5375.81,1.10239,0.84117,1.12718,0.84282,0.78779,0.84105,0.60674,0.99683,1.36022,1.02677,0.000589333,0.000589333,0.000589333
16,5741.29,1.09887,0.83676,1.12582,0.84453,0.78632,0.84146,0.60709,0.99613,1.34106,1.02631,0.00056,0.00056,0.00056
17,6101.04,1.09933,0.83325,1.12542,0.84361,0.78792,0.84206,0.60761,0.99584,1.34351,1.02614,0.000530667,0.000530667,0.000530667
18,6464.74,1.09673,0.8313,1.12381,0.84486,0.78628,0.84265,0.60798,0.99491,1.34077,1.02535,0.000501333,0.000501333,0.000501333
19,6826.72,1.0941,0.83133,1.12384,0.84515,0.78753,0.84296,0.60831,0.99488,1.35479,1.02507,0.000472,0.000472,0.000472
20,7187.56,1.09182,0.82781,1.1224,0.8453,0.78612,0.84303,0.60856,0.99456,1.36425,1.02494,0.000442667,0.000442667,0.000442667
21,7576.62,1.05375,0.6432,1.08326,0.84909,0.78693,0.84413,0.6096,0.99302,1.34078,1.02378,0.000413333,0.000413333,0.000413333
22,7931.09,1.04235,0.63005,1.07927,0.84996,0.78672,0.84556,0.61135,0.9907,1.32457,1.02234,0.000384,0.000384,0.000384
23,8289.1,1.03665,0.62159,1.07677,0.85058,0.78965,0.8467,0.61269,0.9887,1.30842,1.02128,0.000354667,0.000354667,0.000354667
24,8645.07,1.03113,0.61743,1.07546,0.84811,0.79113,0.84766,0.61394,0.98655,1.29262,1.02019,0.000325333,0.000325333,0.000325333
25,9001.8,1.02798,0.61484,1.0728,0.84654,0.79314,0.84823,0.61449,0.98503,1.28006,1.01943,0.000296,0.000296,0.000296
26,9355.63,1.02551,0.60995,1.07084,0.8472,0.7937,0.84872,0.61527,0.98299,1.26956,1.01819,0.000266667,0.000266667,0.000266667
27,9710.53,1.02327,0.60731,1.06936,0.84839,0.795,0.84906,0.61573,0.98191,1.26178,1.01768,0.000237333,0.000237333,0.000237333
28,10065.3,1.02006,0.6038,1.06864,0.84725,0.79472,0.84916,0.61639,0.98091,1.25793,1.01709,0.000208,0.000208,0.000208
29,10421.4,1.01773,0.60207,1.06705,0.84705,0.79574,0.8493,0.61671,0.97988,1.25814,1.01656,0.000178667,0.000178667,0.000178667
30,10778.6,1.01352,0.59797,1.06614,0.84965,0.79398,0.84928,0.61707,0.97952,1.25416,1.01645,0.000149333,0.000149333,0.000149333
