epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.152,1.69029,2.44833,1.49642,0.42497,0.26948,0.22735,0.11356,1.88053,4.37894,1.81301,0.0676737,0.000999783,0.000999783
2,740.679,1.61436,2.00435,1.46661,0.61764,0.56054,0.59487,0.3711,1.31453,2.48871,1.27871,0.0353052,0.00196459,0.00196459
3,1102.69,1.53636,1.79466,1.41179,0.64916,0.60489,0.64163,0.41344,1.25802,2.26776,1.23377,0.00290144,0.00289419,0.00289419
4,1455.61,1.48918,1.66231,1.37536,0.69473,0.64601,0.68699,0.45451,1.2067,2.16264,1.19504,0.0028416,0.0028416,0.0028416
5,1801.89,1.44799,1.55126,1.34486,0.70714,0.67046,0.71043,0.47585,1.17648,2.06804,1.17142,0.0027888,0.0027888,0.0027888
6,2150.39,1.41668,1.48112,1.32269,0.72458,0.67701,0.72308,0.48762,1.15902,2.01394,1.1571,0.002736,0.002736,0.002736
7,2498.75,1.39678,1.43467,1.31075,0.73135,0.68508,0.73131,0.49598,1.14765,1.92847,1.14889,0.0026832,0.0026832,0.0026832
8,2840.63,1.37429,1.38566,1.29585,0.7429,0.68603,0.73625,0.50102,1.13974,1.86544,1.14307,0.0026304,0.0026304,0.0026304
9,3190.22,1.35855,1.351,1.28522,0.75057,0.68982,0.74139,0.5068,1.13356,1.81092,1.13869,0.0025776,0.0025776,0.0025776
10,3536.87,1.34609,1.32586,1.27813,0.76007,0.68948,0.74577,0.5107,1.12807,1.75909,1.13497,0.0025248,0.0025248,0.0025248
11,3890.19,1.3348,1.29912,1.26919,0.77136,0.68755,0.74993,0.51523,1.12238,1.69894,1.13143,0.002472,0.002472,0.002472
12,4232.59,1.32518,1.28042,1.2629,0.77951,0.68767,0.75489,0.52075,1.11526,1.64309,1.12667,0.0024192,0.0024192,0.0024192
13,4585.22,1.31962,1.26104,1.25589,0.78362,0.69065,0.76058,0.52617,1.108,1.61498,1.12099,0.0023664,0.0023664,0.0023664
14,4953.69,1.30939,1.24296,1.2509,0.78547,0.69806,0.76624,0.53206,1.10145,1.57592,1.11558,0.0023136,0.0023136,0.0023136
15,5307.59,1.30293,1.23094,1.24893,0.78866,0.70462,0.77205,0.53786,1.09412,1.56428,1.10981,0.0022608,0.0022608,0.0022608
16,5677.43,1.29615,1.21511,1.244,0.79395,0.7102,0.77857,0.54372,1.0877,1.53136,1.10407,0.002208,0.002208,0.002208
17,6020.79,1.2926,1.20455,1.23969,0.79457,0.71997,0.78467,0.5493,1.07994,1.51568,1.09761,0.0021552,0.0021552,0.0021552
18,6370.95,1.28456,1.19209,1.23686,0.79757,0.72695,0.78957,0.55439,1.0732,1.4978,1.09171,0.0021024,0.0021024,0.0021024
19,6713.86,1.27759,1.17667,1.23043,0.80175,0.73245,0.79446,0.55919,1.06702,1.48591,1.08618,0.0020496,0.0020496,0.0020496
20,7064.13,1.27276,1.16754,1.22743,0.805,0.73748,0.79789,0.56285,1.06145,1.50556,1.08151,0.0019968,0.0019968,0.0019968
21,7416.43,1.26812,1.15968,1.22572,0.80999,0.74021,0.80089,0.56578,1.05684,1.51149,1.07749,0.001944,0.001944,0.001944
22,7766.75,1.25956,1.14856,1.22206,0.81268,0.74375,0.80453,0.5693,1.05227,1.51724,1.07314,0.0018912,0.0018912,0.0018912
23,8120.26,1.26106,1.14174,1.22085,0.81487,0.74566,0.80762,0.57221,1.04871,1.51444,1.06989,0.0018384,0.0018384,0.0018384
24,8484.42,1.255,1.13231,1.21839,0.81698,0.74753,0.81014,0.5748,1.04536,1.50662,1.06698,0.0017856,0.0017856,0.0017856
25,8854.83,1.25093,1.12565,1.2153,0.81771,0.75138,0.81187,0.57623,1.04275,1.51195,1.06426,0.0017328,0.0017328,0.0017328
26,9210.91,1.25097,1.12308,1.21429,0.81415,0.75621,0.8133,0.57773,1.04022,1.52573,1.06215,0.00168,0.00168,0.00168
27,9572.18,1.24508,1.11576,1.21188,0.81816,0.75609,0.81424,0.5788,1.03734,1.53643,1.05986,0.0016272,0.0016272,0.0016272
28,9930.43,1.24147,1.10757,1.20911,0.8194,0.75971,0.81554,0.58059,1.03564,1.52599,1.05756,0.0015744,0.0015744,0.0015744
29,10293.4,1.23617,1.10126,1.20788,0.82069,0.76178,0.81684,0.58214,1.03353,1.52045,1.05577,0.0015216,0.0015216,0.0015216
30,10658.7,1.2309,1.09101,1.2043,0.82051,0.76341,0.81823,0.58331,1.03136,1.52143,1.05401,0.0014688,0.0014688,0.0014688
31,11021.7,1.23091,1.08303,1.20196,0.82545,0.76295,0.81942,0.58465,1.02975,1.52359,1.05268,0.001416,0.001416,0.001416
32,11388.8,1.22568,1.07829,1.20061,0.82937,0.76065,0.82058,0.58548,1.02798,1.51631,1.05112,0.0013632,0.0013632,0.0013632
33,11756.1,1.22538,1.07878,1.2011,0.82882,0.76299,0.82161,0.58647,1.02682,1.49674,1.04979,0.0013104,0.0013104,0.0013104
34,12119.6,1.22154,1.06731,1.19783,0.82805,0.76438,0.82274,0.58767,1.02569,1.47678,1.04862,0.0012576,0.0012576,0.0012576
35,12481.8,1.21596,1.06268,1.19723,0.82749,0.76509,0.82317,0.5883,1.02452,1.48018,1.04786,0.0012048,0.0012048,0.0012048
36,12847.4,1.21424,1.05777,1.19441,0.82774,0.76549,0.82382,0.58919,1.02252,1.45168,1.04672,0.001152,0.001152,0.001152
37,13215.4,1.21275,1.05427,1.19254,0.82511,0.76921,0.82432,0.58998,1.02096,1.4196,1.04576,0.0010992,0.0010992,0.0010992
38,13579.1,1.20784,1.0476,1.19193,0.82659,0.77035,0.82422,0.59015,1.01989,1.41818,1.0452,0.0010464,0.0010464,0.0010464
39,13943.3,1.20722,1.04232,1.19023,0.82813,0.76927,0.82519,0.59063,1.01891,1.40893,1.04447,0.0009936,0.0009936,0.0009936
40,14309.2,1.2043,1.04086,1.18971,0.82857,0.76942,0.82585,0.59153,1.01807,1.41409,1.04377,0.0009408,0.0009408,0.0009408
41,14688.5,1.10469,0.70727,1.11375,0.82866,0.77223,0.82775,0.59399,1.01471,1.39516,1.04133,0.000888,0.000888,0.000888
42,15043.2,1.09065,0.6886,1.10721,0.83314,0.77322,0.83082,0.59672,1.0101,1.37477,1.03847,0.0008352,0.0008352,0.0008352
43,15394.7,1.08131,0.67689,1.10258,0.83259,0.7768,0.8333,0.59914,1.00593,1.35032,1.03592,0.0007824,0.0007824,0.0007824
44,15743,1.07514,0.66831,1.09985,0.83156,0.7816,0.83548,0.60178,1.00252,1.34326,1.03378,0.0007296,0.0007296,0.0007296
45,16095,1.06709,0.65981,1.09489,0.83052,0.78677,0.83767,0.60408,0.99953,1.33127,1.03206,0.0006768,0.0006768,0.0006768
46,16449.3,1.06335,0.65378,1.09216,0.83408,0.78566,0.8388,0.60548,0.99708,1.33186,1.0306,0.000624,0.000624,0.000624
47,16799.1,1.05696,0.64624,1.09006,0.83607,0.78735,0.84018,0.60721,0.99452,1.30969,1.0289,0.0005712,0.0005712,0.0005712
48,17149.1,1.05319,0.64253,1.08769,0.83957,0.78705,0.84135,0.60868,0.99237,1.28349,1.02758,0.0005184,0.0005184,0.0005184
49,17497.8,1.04812,0.6364,1.08483,0.84028,0.78841,0.84256,0.60958,0.99072,1.26378,1.02648,0.0004656,0.0004656,0.0004656
50,17848,1.04365,0.63095,1.08236,0.84037,0.78795,0.84314,0.61033,0.98904,1.24788,1.02537,0.0004128,0.0004128,0.0004128
