epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.502,1.43979,2.59135,1.48179,0.2484,0.30092,0.20193,0.1154,1.53302,3.91793,1.55044,0.0676781,0.000999648,0.000999648
2,293.414,1.41399,2.17957,1.48529,0.48638,0.37855,0.38371,0.21627,1.47698,3.31638,1.49818,0.0353271,0.00198205,0.00198205
3,433.65,1.35775,1.97973,1.44418,0.5352,0.47014,0.49189,0.30027,1.30745,2.56008,1.3783,0.00295859,0.00294685,0.00294685
4,568.627,1.30363,1.80764,1.40897,0.56419,0.5314,0.56416,0.3631,1.24937,2.10707,1.32624,0.0029208,0.0029208,0.0029208
5,709.611,1.26187,1.68159,1.37969,0.64404,0.55636,0.61425,0.40488,1.20793,1.9648,1.29514,0.0028944,0.0028944,0.0028944
6,847.388,1.23554,1.593,1.36254,0.63963,0.60365,0.64982,0.43365,1.16637,1.84274,1.2618,0.002868,0.002868,0.002868
7,978.967,1.21333,1.52577,1.34526,0.63885,0.60519,0.6545,0.44132,1.14774,1.67124,1.25158,0.0028416,0.0028416,0.0028416
8,1110.72,1.1899,1.46226,1.33307,0.71275,0.6155,0.69387,0.47653,1.11266,1.70913,1.22604,0.0028152,0.0028152,0.0028152
9,1240.59,1.17905,1.41919,1.32355,0.70069,0.64294,0.70482,0.48918,1.10324,1.67676,1.21191,0.0027888,0.0027888,0.0027888
10,1372.65,1.16418,1.37195,1.30819,0.73007,0.649,0.72236,0.50373,1.07776,1.53299,1.19674,0.0027624,0.0027624,0.0027624
11,1504.19,1.15025,1.33706,1.29974,0.72869,0.66249,0.73312,0.51655,1.06391,1.41944,1.18572,0.002736,0.002736,0.002736
12,1635.57,1.13695,1.31109,1.29204,0.74684,0.66778,0.74448,0.52755,1.05159,1.4793,1.17846,0.0027096,0.0027096,0.0027096
13,1767.37,1.12355,1.27767,1.28038,0.76256,0.68061,0.75191,0.53694,1.04417,1.41823,1.172,0.0026832,0.0026832,0.0026832
14,1898.24,1.12121,1.25112,1.27797,0.77147,0.67857,0.75559,0.54244,1.03624,1.41117,1.16441,0.0026568,0.0026568,0.0026568
15,2028.42,1.10844,1.22503,1.27191,0.77625,0.68268,0.76159,0.54781,1.02768,1.41558,1.1585,0.0026304,0.0026304,0.0026304
16,2159.57,1.10362,1.2103,1.26605,0.77152,0.69622,0.7664,0.55239,1.01669,1.40898,1.14818,0.002604,0.002604,0.002604
17,2289.75,1.09325,1.19051,1.25735,0.77818,0.69847,0.7699,0.55851,1.00712,1.39105,1.14057,0.0025776,0.0025776,0.0025776
18,2423.21,1.08155,1.16703,1.25169,0.77603,0.70401,0.77158,0.56212,1.00207,1.35578,1.13741,0.0025512,0.0025512,0.0025512
19,2557.1,1.07758,1.15539,1.24847,0.77351,0.70838,0.77463,0.56534,0.99708,1.35034,1.13498,0.0025248,0.0025248,0.0025248
20,2692.33,1.07021,1.13574,1.24269,0.77902,0.7074,0.7776,0.56807,0.99334,1.33146,1.13213,0.0024984,0.0024984,0.0024984
21,2827.68,1.06852,1.12596,1.2406,0.77994,0.7107,0.77944,0.57029,0.99024,1.31977,1.13017,0.002472,0.002472,0.002472
22,2962.78,1.05792,1.10871,1.23593,0.77893,0.714,0.78144,0.57236,0.98745,1.31124,1.12861,0.0024456,0.0024456,0.0024456
23,3095.65,1.05834,1.0989,1.23231,0.7817,0.71426,0.78327,0.57389,0.98528,1.3067,1.12687,0.0024192,0.0024192,0.0024192
24,3228.55,1.05256,1.08803,1.22824,0.78313,0.71949,0.78517,0.57614,0.9836,1.29543,1.12533,0.0023928,0.0023928,0.0023928
25,3362.7,1.0447,1.0777,1.22479,0.78199,0.72039,0.78636,0.57812,0.98161,1.28511,1.12371,0.0023664,0.0023664,0.0023664
26,3497.55,1.03943,1.06652,1.22094,0.78029,0.72127,0.78745,0.57958,0.9794,1.2742,1.12186,0.00234,0.00234,0.00234
27,3633.35,1.03698,1.05753,1.21954,0.78385,0.72268,0.7885,0.58109,0.97713,1.26308,1.12006,0.0023136,0.0023136,0.0023136
28,3766.41,1.03246,1.05051,1.21697,0.78945,0.72033,0.7891,0.58235,0.97473,1.25628,1.11791,0.0022872,0.0022872,0.0022872
29,3898.69,1.02619,1.03803,1.21134,0.78655,0.72237,0.79026,0.58391,0.97241,1.24993,1.11584,0.0022608,0.0022608,0.0022608
30,4032.11,1.02568,1.03003,1.21306,0.79689,0.71939,0.79164,0.58522,0.97065,1.23962,1.11422,0.0022344,0.0022344,0.0022344
31,4166.27,1.02082,1.02137,1.20944,0.80428,0.71593,0.79279,0.58649,0.96895,1.23369,1.11284,0.002208,0.002208,0.002208
32,4302.23,1.01277,1.01321,1.20403,0.81042,0.71345,0.79349,0.5874,0.96736,1.22423,1.11147,0.0021816,0.0021816,0.0021816
33,4435.95,1.01508,1.01017,1.20549,0.81526,0.71141,0.79387,0.58825,0.96589,1.21923,1.1102,0.0021552,0.0021552,0.0021552
34,4570.72,1.00665,0.99888,1.19961,0.80652,0.71817,0.79502,0.58972,0.9644,1.21416,1.10876,0.0021288,0.0021288,0.0021288
35,4705.05,1.00417,0.99466,1.19835,0.8034,0.72222,0.79558,0.59092,0.9634,1.20427,1.1075,0.0021024,0.0021024,0.0021024
36,4839.42,1.00251,0.98418,1.19561,0.79812,0.72639,0.7956,0.59229,0.96176,1.19631,1.10558,0.002076,0.002076,0.002076
37,4975.12,0.99321,0.97017,1.19005,0.78678,0.73575,0.79638,0.59334,0.96041,1.18906,1.10424,0.0020496,0.0020496,0.0020496
38,5109.71,0.99532,0.96903,1.19054,0.78831,0.73907,0.7972,0.59395,0.95912,1.18141,1.10315,0.0020232,0.0020232,0.0020232
39,5243.23,0.99301,0.96468,1.19031,0.79909,0.7339,0.7977,0.59472,0.9581,1.17258,1.10222,0.0019968,0.0019968,0.0019968
40,5379.11,0.99236,0.96127,1.18904,0.79748,0.73496,0.79951,0.59593,0.95664,1.16593,1.10085,0.0019704,0.0019704,0.0019704
41,5512.75,0.98542,0.95185,1.18607,0.79787,0.73612,0.80069,0.59731,0.95515,1.16019,1.09968,0.001944,0.001944,0.001944
42,5647.49,0.98349,0.94798,1.18593,0.79786,0.73924,0.80167,0.59905,0.95362,1.15472,1.09841,0.0019176,0.0019176,0.0019176
43,5782.37,0.97542,0.93466,1.18117,0.7999,0.73895,0.80269,0.60034,0.95207,1.14801,1.09711,0.0018912,0.0018912,0.0018912
44,5915.07,0.98248,0.9363,1.18215,0.80316,0.73756,0.80389,0.60116,0.95058,1.1409,1.09574,0.0018648,0.0018648,0.0018648
45,6049.74,0.97372,0.93121,1.17825,0.80331,0.74049,0.80511,0.60276,0.9491,1.13487,1.0945,0.0018384,0.0018384,0.0018384
46,6184.24,0.97427,0.92948,1.1774,0.80323,0.7414,0.80641,0.60386,0.94704,1.13041,1.09286,0.001812,0.001812,0.001812
47,6323.97,0.97468,0.92309,1.17569,0.80464,0.74237,0.8075,0.60524,0.94596,1.12725,1.09185,0.0017856,0.0017856,0.0017856
48,6463.77,0.96603,0.91821,1.17234,0.80593,0.74395,0.80852,0.60638,0.94363,1.12395,1.09004,0.0017592,0.0017592,0.0017592
49,6605.99,0.96795,0.91409,1.1734,0.81587,0.73812,0.809,0.60788,0.94175,1.12241,1.08886,0.0017328,0.0017328,0.0017328
50,6745.34,0.96228,0.9076,1.17192,0.81904,0.73825,0.8101,0.60895,0.94048,1.12035,1.08779,0.0017064,0.0017064,0.0017064
51,6880.38,0.96143,0.90456,1.17068,0.81823,0.7414,0.81093,0.60985,0.93924,1.1171,1.08674,0.00168,0.00168,0.00168
52,7015.48,0.9602,0.90672,1.16911,0.81132,0.74622,0.81152,0.61098,0.93788,1.11165,1.08572,0.0016536,0.0016536,0.0016536
53,7150.64,0.95608,0.89254,1.16642,0.80877,0.75161,0.81223,0.61176,0.93639,1.10843,1.08452,0.0016272,0.0016272,0.0016272
54,7285.11,0.95275,0.89413,1.16559,0.81268,0.74854,0.81308,0.61291,0.93441,1.10498,1.08284,0.0016008,0.0016008,0.0016008
55,7419.89,0.95291,0.88876,1.16418,0.81843,0.74876,0.81383,0.61386,0.93308,1.10181,1.08184,0.0015744,0.0015744,0.0015744
56,7555.72,0.94927,0.88186,1.16143,0.82129,0.74797,0.81474,0.61468,0.93206,1.09918,1.08082,0.001548,0.001548,0.001548
57,7689.12,0.94865,0.87904,1.16212,0.82316,0.74787,0.81541,0.61553,0.93172,1.09559,1.08066,0.0015216,0.0015216,0.0015216
58,7824.91,0.9478,0.87717,1.16242,0.82142,0.74874,0.81609,0.61623,0.93084,1.09286,1.08008,0.0014952,0.0014952,0.0014952
